MAP:gpssbit001.gif
SPEED:40
TIME:4051
DATA:Järla
0|3821|3388
0|3821|3387
30|3831|3312
60|3824|3239
90|3818|3173
120|3803|3101
150|3804|3027
180|3789|2954
210|3800|2887
240|3818|2812
270|3802|2731
300|3771|2668
330|3693|2651
360|3641|2639
390|3579|2620
420|3501|2603
450|3430|2569
480|3359|2534
510|3297|2507
540|3240|2447
570|3179|2436
600|3117|2409
630|3094|2345
660|3038|2293
690|2984|2257
720|2936|2195
750|2890|2159
780|2854|2137
810|2842|2105
840|2837|2048
870|2806|1994
900|2769|1956
930|2716|1936
960|2658|1950
990|2620|1912
1020|2583|1875
1050|2562|1836
1080|2500|1809
1110|2456|1796
1140|2436|1765
1170|2410|1751
1200|2392|1745
1230|2367|1755
1260|2342|1758
1290|2331|1726
1320|2334|1676
1350|2329|1619
1380|2290|1565
1410|2254|1544
1440|2253|1528
1470|2244|1528
1500|2235|1521
1530|2235|1521
1560|2235|1521
1590|2218|1523
1620|2184|1518
1650|2150|1521
1680|2125|1523
1710|2080|1503
1740|2028|1491
1770|1972|1439
1800|1933|1385
1830|1883|1307
1860|1810|1248
1890|1747|1213
1920|1692|1169
1950|1639|1149
1980|1614|1151
2010|1579|1146
2040|1542|1117
2070|1512|1062
2100|1484|1040
2130|1450|1043
2160|1414|1022
2190|1380|1017
2220|1339|1037
2250|1309|1073
2280|1267|1085
2310|1234|1096
2340|1211|1123
2370|1197|1157
2400|1157|1186
2430|1118|1222
2460|1104|1256
2490|1098|1282
2520|1107|1289
2550|1089|1274
2580|1063|1268
2610|1005|1282
2640|936|1280
2670|920|1282
2700|928|1281
2730|959|1253
2760|937|1198
2790|894|1186
2820|847|1231
2850|817|1275
2880|816|1267
2910|816|1267
2940|816|1267
2970|806|1251
3000|803|1219
3030|834|1183
3060|875|1171
3090|870|1114
3120|864|1049
3150|834|1002
3180|829|953
3210|817|913
3240|795|858
3270|780|785
3300|742|740
3330|735|674
3360|739|625
3390|750|558
3420|779|498
3450|809|454
3480|819|387
3510|858|351
3540|916|329
3570|944|351
3600|970|365
3630|999|403
3660|1035|416
3690|1078|429
3720|1112|426
3750|1121|425
3780|1121|433
3810|1138|431
3840|1165|445
3870|1183|452
3900|1211|482
3930|1241|529
3960|1271|583
3990|1324|595
4020|1352|625
4050|1374|681
4080|1377|713
4110|1398|752
4140|1442|773
4170|1501|767
4200|1527|765
4230|1527|773
4260|1556|812
4290|1569|860
4320|1569|860
4350|1570|868
4380|1590|899
4410|1652|926
4440|1721|936
4470|1803|904
4510|1865|840
4540|1921|794
4570|1957|733
4600|1980|698
4630|1987|681
4660|2009|646
4690|2033|628
4720|2056|609
4750|2056|601
4780|2056|601
4810|2056|601
4840|2048|610
4870|2032|619
4900|2016|629
4930|2000|647
4960|1988|697
4990|1975|740
5020|1960|758
5050|1943|759
5080|1919|778
5110|1880|814
5140|1842|859
5170|1827|885
5200|1821|910
5230|1772|939
5260|1735|992
5290|1740|1049
5320|1763|1113
5350|1744|1180
5380|1749|1237
5410|1761|1277
5440|1771|1293
5470|1783|1325
5500|1820|1362
5530|1884|1406
5560|1930|1443
5590|1952|1498
5620|1967|1562
5650|1970|1603
5680|1999|1642
5710|2038|1687
5740|2111|1746
5770|2176|1798
5800|2238|1825
5830|2317|1850
5860|2373|1903
5890|2379|1976
5920|2402|2040
5950|2435|2119
5980|2476|2189
6010|2501|2277
6040|2492|2360
6070|2508|2441
6100|2516|2530
6130|2528|2562
6160|2511|2564
6190|2496|2590
6220|2481|2608
6250|2475|2641
6280|2481|2698
6310|2487|2763
6340|2440|2809
6370|2396|2796
6400|2360|2775
6430|2315|2746
6460|2276|2692
6490|2278|2627
6520|2298|2559
6550|2308|2492
6580|2338|2440
6610|2353|2422
6640|2325|2400
6670|2304|2353
6700|2267|2323
6730|2224|2319
6760|2198|2313
6790|2163|2300
6820|2120|2296
6850|2099|2257
6880|2071|2227
6910|2051|2196
6940|2049|2171
6970|2064|2153
7000|2053|2130
7030|2050|2097
7060|2031|2074
7090|1998|2077
7120|1964|2080
7150|1966|2105
7180|1970|2146
7210|1957|2188
7240|1933|2207
7270|1892|2227
7300|1851|2239
7330|1816|2226
7360|1763|2206
7390|1709|2178
7420|1674|2165
7450|1631|2161
7480|1570|2142
7510|1548|2095
7540|1520|2064
7570|1475|2036
7600|1428|1991
7630|1405|1927
7660|1366|1873
7690|1313|1853
7720|1288|1856
7750|1262|1858
7780|1233|1820
7810|1197|1790
7840|1168|1760
7870|1132|1739
7900|1103|1700
7930|1060|1696
7960|1017|1692
7990|997|1661
8020|962|1648
8050|935|1626
8080|947|1575
8110|976|1523
8140|973|1491
8170|952|1451
8200|916|1430
8230|872|1410
8260|862|1394
8290|835|1380
8320|815|1349
8350|778|1311
8380|739|1266
8410|728|1234
8440|724|1193
8470|721|1161
8500|713|1161
8530|695|1155
8560|696|1163
8590|682|1197
8620|644|1242
8650|610|1245
8680|637|1259
8710|692|1303
8740|739|1348
8770|769|1403
8800|816|1448
8830|869|1467
8860|934|1527
8890|962|1557
8920|1014|1569
8950|1042|1591
8980|1070|1621
9010|1118|1674
9040|1146|1705
9070|1174|1735
9100|1200|1741
9130|1182|1726
9160|1171|1694
9190|1166|1645
9220|1178|1587
9250|1146|1516
9280|1132|1459
9300|1123|1423
